"","name","pval","adj_pval","significance"
"ENSMUSG00000001379","Apbb3",1.11835304505896e-14,8.062140445026e-13,1
"ENSMUSG00000039313","AF529169",1.19743902949396e-14,8.60377726439375e-13,1
"ENSMUSG00000029126","Nsg1",1.30432187553203e-14,9.34091827375261e-13,1
"ENSMUSG00000056854","Pou3f4",1.36807901526193e-14,9.76539286598933e-13,1
"ENSMUSG00000034744","Nagk",1.38042345145213e-14,9.82130685018438e-13,1
"ENSMUSG00000058886","Deaf1",1.42091079471163e-14,1.00764328702498e-12,1
"ENSMUSG00000045875","Adra1a",1.42623278976575e-14,1.00813357357111e-12,1
"ENSMUSG00000043668","Tox3",1.47916757370993e-14,1.04216690120514e-12,1
"ENSMUSG00000033717","Adra2a",1.52294903237483e-14,1.0695523672204e-12,1
"ENSMUSG00000056091","St3gal5",1.54364274531159e-14,1.08059955653308e-12,1
"ENSMUSG00000028152","Tspan5",1.5729476092408e-14,1.09758469233274e-12,1
"ENSMUSG00000002108","Nr1h3",1.65225656723345e-14,1.14924209984791e-12,1
"ENSMUSG00000060862","Zbtb40",1.74696232220287e-14,1.21124575530824e-12,1
"ENSMUSG00000036672","Cenpt",1.77095825752237e-14,1.22398514998475e-12,1
"ENSMUSG00000028745","Capzb",1.85196473538323e-14,1.27592165360849e-12,1
"ENSMUSG00000041460","Cacna2d4",1.86657878253879e-14,1.28193333358524e-12,1
"ENSMUSG00000091898","Tnnc1",1.88542255162801e-14,1.29080296765703e-12,1
"ENSMUSG00000032612","Usp4",1.96726437818128e-14,1.34261168581143e-12,1
"ENSMUSG00000024986","Hhex",2.04835941649481e-14,1.39358852676589e-12,1
"ENSMUSG00000097039","Pvt1",2.05719033484158e-14,1.39523647289209e-12,1
"ENSMUSG00000039763","Dnajc28",2.10758518882318e-14,1.42497630887793e-12,1
"ENSMUSG00000021913","Ogdhl",2.12011054747758e-14,1.42900701947785e-12,1
